Unique_id,Site,Year,TimePeriod,dN15,Percent_N,Percent_C,C_to_N_ratio,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Date,Time,Latitude,Longitude,Distance_to_crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon,Microbial_Species_Richness,Microbial_Shannon_Diversity,Microbial_Phylogenetic_Diversity,Microbial_Evenness,Microbial_PCoA1,Microbial_PCoA2,Ultra.Violet.Humic.like,Tyrosine.like,Visible.Humic.like,Marine.Humic.like,Tryptophan.like,Lignin.like,M.C,HIX,BIX,FI,FishNH4ug_min_m2,FishBiomg_m2
id_1,1,2016,2016-July,11.81,0.45,NA,NA,NA,NA,NA,NA,NA,NA,-17.58796058,-149.850116,843.22,195.02,1000.3299999999999,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9376470015926003,15.706105196360566
id_2,1,2016,2016-May,3.77,0.68,NA,NA,NA,NA,NA,NA,NA,NA,-17.58796058,-149.850116,843.22,195.02,1000.3299999999999,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9376470015926003,15.706105196360566
id_3,1,2016,2016-January,2.38,0.43,NA,NA,NA,NA,NA,NA,NA,NA,-17.58796058,-149.850116,843.22,195.02,1000.3299999999999,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9376470015926003,15.706105196360566
id_4,2,2016,2016-July,7.96,0.43,NA,NA,NA,NA,NA,NA,NA,NA,-17.59042955,-149.8513141,553.98,506.75,809.65,250,506.75,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0187513667051311,18.04423825282333
id_5,2,2016,2016-May,3.73,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.59042955,-149.8513141,553.98,506.75,809.65,250,506.75,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0187513667051311,18.04423825282333
id_6,2,2016,2016-January,2.38,0.34,NA,NA,NA,NA,NA,NA,NA,NA,-17.59042955,-149.8513141,553.98,506.75,809.65,250,506.75,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0187513667051311,18.04423825282333
id_7,3,2016,2016-July,6.65,0.52,NA,NA,NA,NA,NA,NA,NA,NA,-17.59052703,-149.861271,307.21999999999997,1164.85,1707.27,290.83,1164.85,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.240612737087112,38.81771202818495
id_8,3,2016,2016-May,3.71,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.59052703,-149.861271,307.21999999999997,1164.85,1707.27,290.83,1164.85,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.240612737087112,38.81771202818495
id_9,3,2016,2016-January,3.36,0.45,NA,NA,NA,NA,NA,NA,NA,NA,-17.59052703,-149.861271,307.21999999999997,1164.85,1707.27,290.83,1164.85,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.240612737087112,38.81771202818495
id_10,4,2016,2016-July,4.69,0.54,NA,NA,NA,NA,NA,NA,NA,NA,-17.58473849,-149.8584346,968.8599999999999,664.71,1788.31,203.81,664.71,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5528387349104924,9.858691833406237
id_11,4,2016,2016-May,2.99,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.58473849,-149.8584346,968.8599999999999,664.71,1788.31,203.81,664.71,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5528387349104924,9.858691833406237
id_12,4,2016,2016-January,2.66,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.58473849,-149.8584346,968.8599999999999,664.71,1788.31,203.81,664.71,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5528387349104924,9.858691833406237
id_13,5,2016,2016-July,9.27,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.58509698,-149.8672942,205.62,1171.22,1732.1499999999999,450.97,1610.76,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4566976728807823,25.87227442072538
id_14,5,2016,2016-January,4.17,0.5,NA,NA,NA,NA,NA,NA,NA,NA,-17.58509698,-149.8672942,205.62,1171.22,1732.1499999999999,450.97,1610.76,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4566976728807823,25.87227442072538
id_15,6,2016,2016-July,5.97,0.42,NA,NA,NA,NA,NA,NA,NA,NA,-17.57797027,-149.8731899,200.52,1057.87,735.57,595.65,2279.93,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5920997202497444,44.67481441902281
id_16,6,2016,2016-May,3.01,0.57,NA,NA,NA,NA,NA,NA,NA,NA,-17.57797027,-149.8731899,200.52,1057.87,735.57,595.65,2279.93,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5920997202497444,44.67481441902281
id_17,6,2016,2016-January,3.73,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.57797027,-149.8731899,200.52,1057.87,735.57,595.65,2279.93,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5920997202497444,44.67481441902281
id_18,7,2016,2016-July,4.04,0.5,NA,NA,NA,NA,NA,NA,NA,NA,-17.57851023,-149.8622209,1040.23,292.1,1847.12,48.29,1155.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15689002780336073,2.645668243802198
id_19,7,2016,2016-May,2.57,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.57851023,-149.8622209,1040.23,292.1,1847.12,48.29,1155.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15689002780336073,2.645668243802198
id_20,7,2016,2016-January,1.83,0.42,NA,NA,NA,NA,NA,NA,NA,NA,-17.57851023,-149.8622209,1040.23,292.1,1847.12,48.29,1155.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15689002780336073,2.645668243802198
id_21,8,2016,2016-July,4.51,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.58234638,-149.8545238,1399.1799999999998,211.44,1770.73,10.02,211.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7560151896691936,14.162992583996491
id_22,8,2016,2016-January,2.88,0.42,NA,NA,NA,NA,NA,NA,NA,NA,-17.58234638,-149.8545238,1399.1799999999998,211.44,1770.73,10.02,211.44,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7560151896691936,14.162992583996491
id_23,9,2016,2016-July,5.45,0.4,NA,NA,NA,NA,NA,NA,NA,NA,-17.57452698,-149.8740018,377.77,859.38,525.73,273.81,2416.43,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1585238724934197,20.95157639632932
id_24,9,2016,2016-May,2.96,0.54,NA,NA,NA,NA,NA,NA,NA,NA,-17.57452698,-149.8740018,377.77,859.38,525.73,273.81,2416.43,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1585238724934197,20.95157639632932
id_25,9,2016,2016-January,3.03,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.57452698,-149.8740018,377.77,859.38,525.73,273.81,2416.43,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1585238724934197,20.95157639632932
